database,query,average
cognodb,aggregation,12.285230999999968
cognodb,one_hop,7.12875800000001
cognodb,point_lookup,8.569541
cognodb,three_hop,11.55045299999998
cognodb,two_hop,9.409239000000037
neo4j,aggregation,22.227038000000086
neo4j,one_hop,19.991855999999952
neo4j,point_lookup,20.553141000000004
neo4j,three_hop,20.45895599999998
neo4j,two_hop,19.72220900000016
memgraph,aggregation,11.639914999999972
memgraph,one_hop,10.449407000000019
memgraph,point_lookup,9.617235000000012
memgraph,three_hop,9.35145600000002
memgraph,two_hop,10.469634999999977
falkordb,aggregation,6.993664999608882
falkordb,one_hop,2.9815089990734123
falkordb,point_lookup,3.1674109993036836
falkordb,three_hop,3.2660939992638305
falkordb,two_hop,3.324537001317367
arangodb,aggregation,52.04936599911889
arangodb,one_hop,47.63437300105579
arangodb,point_lookup,56.087605000357144
arangodb,three_hop,56.496429000399075
arangodb,two_hop,47.21174000296742
