database,query,iterations,average,minimum,maximum,p50,p95
arangodb_indexed,aggregation,100,50.440671000000094,46.141999999999676,61.888299999999674,50.01375000000152,54.97755500000032
arangodb_indexed,indexed_lookup,100,90.93664699999995,64.11630000000024,131.62319999999994,93.88615000000034,116.59966999999972
arangodb_indexed,one_hop,100,45.988996000000085,43.441299999997796,52.94130000000053,45.04230000000132,48.649825000002515
arangodb_indexed,point_lookup,100,53.29240800000003,48.39389999999977,64.55219999999984,52.52335000000019,59.959179999999975
arangodb_indexed,three_hop,100,65.78993700000012,43.61099999999851,811.2014000000016,48.003650000000064,88.65655500000123
arangodb_indexed,two_hop,100,47.795043000000014,43.66049999999788,73.22480000000198,47.69570000000023,52.77330499999913
arangodb,aggregation,100,52.04936599911889,46.637799998279654,60.14879999565892,52.113100013229996,57.20831500802887
arangodb,one_hop,100,47.63437300105579,7.492900011129677,53.61640002229251,47.84055000345688,51.40089998167241
arangodb,point_lookup,100,56.087605000357144,48.920200002612546,79.91359999869019,55.343249987345196,62.68213500734418
arangodb,three_hop,100,56.496429000399075,43.730000004870824,320.506199990632,48.124049993930385,87.97809001553105
arangodb,two_hop,100,47.21174000296742,43.174999998882406,56.988299998920404,47.33525001211092,52.23327499261358
cognodb_indexed,indexed_lookup,100,355.77444699999955,293.04189999999863,737.0178000000003,320.32330000000013,521.9099649999977
cognodb,aggregation,100,12.28523099999997,8.277099999999926,35.166199999999925,10.198350000000023,24.08907499999961
cognodb,one_hop,100,7.1287580000000075,5.522500000000097,11.121900000000016,6.927649999999952,8.74356500000001
cognodb,point_lookup,100,8.569540999999997,5.619400000000051,15.410599999999942,8.343749999999982,11.368365000000011
cognodb,three_hop,100,11.55045299999998,7.839199999999825,30.07649999999984,10.579200000000235,18.774214999999742
cognodb,two_hop,100,9.409239000000037,7.187499999999679,13.588300000000329,9.117400000000053,12.110205000000017
falkordb_indexed,aggregation,100,5.4683060009847395,3.3261000062339012,10.205800004769117,5.0866999954450876,8.417144992563408
falkordb_indexed,indexed_lookup,100,1.490870000270661,0.8385000110138208,4.499300004681572,1.3003499916521832,2.8196550018037665
falkordb_indexed,one_hop,100,2.9559280013199896,2.057100005913526,8.185099984984845,2.722149991313927,4.311969999980646
falkordb_indexed,point_lookup,100,2.771723000041675,2.1176000009290874,5.285299994284287,2.599200000986457,3.994955019152257
falkordb_indexed,three_hop,100,4.035062000330072,2.3565000155940647,8.699400001205504,3.741049993550405,6.209139997372404
falkordb_indexed,two_hop,100,3.9800900002592243,2.5059999898076057,6.7325000127311805,3.836800009594299,5.367709997517523
falkordb,aggregation,100,6.993664999608882,4.1157999949064115,13.588700006948786,6.59545001690276,10.271374993317293
falkordb,one_hop,100,2.9815089990734123,2.1129999950062484,5.271000001812354,2.7528000064194202,4.455314998631366
falkordb,point_lookup,100,3.1674109993036836,2.0717000006698068,5.408500001067297,2.969900000607595,4.789295006776229
falkordb,three_hop,100,3.2660939992638305,2.4814000062178816,5.379000009270384,3.110949997790158,4.599679996317717
falkordb,two_hop,100,3.324537001317367,2.4517999845556915,4.7762999893166125,3.2207499898504466,4.484349998529069
memgraph_indexed,aggregation,100,9.034180000000008,7.569199999999832,21.3391000000005,8.824299999999674,10.300919999999445
memgraph_indexed,indexed_lookup,100,6.228253000000026,2.9819999999993736,16.117500000000007,5.332349999999763,10.583619999999973
memgraph_indexed,one_hop,100,8.579310000000035,6.879899999999495,13.183999999999864,8.472049999999953,10.389485000000052
memgraph_indexed,point_lookup,100,12.267941000000006,8.662199999999842,18.875899999999834,11.683900000000191,16.136110000000237
memgraph_indexed,three_hop,100,8.050176999999996,5.880200000000002,31.638199999999728,6.969849999999944,12.273040000000533
memgraph_indexed,two_hop,100,7.592473000000013,5.9176000000000775,12.28359999999995,6.973349999999989,10.99283500000019
memgraph,aggregation,100,11.639914999999968,10.071599999999847,13.210900000000693,11.610250000000377,12.742705000000187
memgraph,one_hop,100,10.449407000000017,7.706500000000283,16.608100000000018,10.285249999999468,13.156590000000357
memgraph,point_lookup,100,9.617235000000015,8.187900000000246,12.55340000000027,9.517999999999692,11.567274999999677
memgraph,three_hop,100,9.351456000000018,7.148299999999884,36.89460000000011,8.4727,12.520995000000037
memgraph,two_hop,100,10.469634999999975,8.005499999999444,14.457199999999835,10.322700000000129,12.929809999999932
neo4j_indexed,indexed_lookup,100,10.17643499999993,6.196400000000324,48.422499999999154,8.919600000000028,17.514869999999494
neo4j,aggregation,100,22.22703800000009,15.020399999999153,28.71690000000093,22.717450000000028,27.03542499999916
neo4j,one_hop,100,19.991855999999963,12.514799999999935,36.63089999999958,19.39760000000001,27.40383000000008
neo4j,point_lookup,100,20.553141000000004,12.922300000000494,30.22539999999996,21.33150000000006,26.55450499999965
neo4j,three_hop,100,20.45895599999998,12.982200000001498,46.52059999999914,19.745349999999995,31.569644999998555
neo4j,two_hop,100,19.72220900000016,12.3350999999996,32.07700000000102,20.225600000000732,26.44456500000025
